scenario,description,station,scale,assigned_communities,construction_cost_10k,daily_capacity,daily_fixed_cost,construction_budget_10k
S0,基准方案,C,小型,C,18,1000.0,2000.0,120.0
S0,基准方案,D,大型,"A,B,D,H,J",45,3000.0,4400.0,120.0
S0,基准方案,G,大型,"E,F,G,I",45,3000.0,4400.0,120.0
S1,60+老人年增长率调整为8%,C,小型,C,18,1000.0,2000.0,120.0
S1,60+老人年增长率调整为8%,E,大型,"E,F,G,I",45,3000.0,4400.0,120.0
S1,60+老人年增长率调整为8%,H,大型,"A,B,D,H,J",45,3000.0,4400.0,120.0
S2,自理到半失能5.5%，半失能到失能9.5%,C,小型,C,18,1000.0,2000.0,120.0
S2,自理到半失能5.5%，半失能到失能9.5%,D,大型,"A,B,D,H,J",45,3000.0,4400.0,120.0
S2,自理到半失能5.5%，半失能到失能9.5%,G,大型,"E,F,G,I",45,3000.0,4400.0,120.0
S3,日固定管理成本增加20%,C,小型,C,18,1000.0,2400.0,120.0
S3,日固定管理成本增加20%,D,大型,"A,B,D,H,J",45,3000.0,5280.0,120.0
S3,日固定管理成本增加20%,G,大型,"E,F,G,I",45,3000.0,5280.0,120.0
S4,总建设预算调整为140万元,A,大型,"A,B,H,J",45,3000.0,4400.0,140.0
S4,总建设预算调整为140万元,E,中型,"E,F",32,2000.0,3200.0,140.0
S4,总建设预算调整为140万元,G,大型,"C,D,G,I",45,3000.0,4400.0,140.0
S4,总建设预算调整为140万元,I,小型,,18,1000.0,2000.0,140.0
